Sigla;Nome
TIET4;AES TIETE E PN
TIFF34;TIFFANY DRN
TIMP3;TIM PART S/A ON
TKNO4;TEKNO PN
TMOS34;THERMFISCHER DRN
TOTS3;TOTVS ON
TOUR13;FII TOUR II
TOYB3;TECTOY ON
TOYB4;TECTOY PN
TPIS3;TRIUNFO PART ON
TRIS3;TRISUL ON
TRNT11;FII TORRE NO
TRPL3;TRAN PAULIST ON
TRPL4;TRAN PAULIST PN
TRPN3;TARPON INV ON
TRVC34;TRAVELERS DRN
TRXL11;FII TRX LOG
TSLA34;TESLA INC DRN
TUPY3;TUPY ON
TWTR34;TWITTER DRN
TXRX4;TEX RENAUX PN
UBSG34;UBS GROUP DRN
UBSR11;FII UBS (BR)
UCAS3;UNICASA ON
UGPA3;ULTRAPAR ON
UNIP3;UNIPAR ON
UNIP5;UNIPAR PNA
UNIP6;UNIPAR PNB
UPAC34;UNIONPACIFIC DRN
UPSS34;UPS DRN
USBC34;US BANCORP DRN
USIM3;USIMINAS ON
USIM5;USIMINAS PNA
USIM6;USIMINAS PNB
USSX34;US STEEL DRN
UTEC34;UNITED TECH DRN
VALE3;VALE ON
VERZ34;VERIZON DRN
VGIR11;FII VALREIII
VILG11;FII VINCILOG
VISA34;VISA INC DRN
VISC11;FII VINCI SC
VIVR3;VIVER ON
VIVT3;TELEF BRASIL ON
VIVT4;TELEF BRASIL PN
VLID3;VALID ON
VLOE34;VALERO ENER DRN
VLOL11;FII OLIMPIA
VOTS11;FII V MASTER
VRTA11;FII FATOR VE
VSHO11;FII VOT SHOP
VTLT11;FII VOT LOG
VULC3;VULCABRAS ON
VVAR3;VIAVAREJO ON
WALM34;WAL MART DRN
WEGE3;WEG ON
WFCO34;WELLS FARGO DRN
WHRL3;WHIRLPOOL ON
WHRL4;WHIRLPOOL PN
WIZS3;WIZ S.A. ON
WLMM3;WLM IND COM ON
WLMM4;WLM IND COM PN
WPLZ11;FII W PLAZA
WSON33;WILSON SONS DR3
WTSP11B;FII WTC SP
XBOV11;CAIXAETFXBOV CI
XPCM11;FII XP MACAE
XPHT11;FII XP HOT
XPHT12;FII XP HOT
XPIN11;FII XP INDL
XPLG11;FII XP LOG
XPML11;FII XP MALLS
XRXB34;XEROX CORP DRN
XTED11;FII TRXE COR
